observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO09010itkt,2839027,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,treated,2009,"15,06",,"90,3",,"104,2",
CF07143itknt,2839017,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"103,1",,"96,8",
RE07019itkt,2838979,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,96",,"97,1",,112,
RE07019itknt,2838978,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"104,7",,"98,3",
Caphornitknt,2839014,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"99,6",,"93,5",
CF07143itkfi,2839016,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,55",,"102,4",,"85,3",
Attlassitknt,2839035,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"117,7",,"110,5",
AO09002itknt,2838996,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"93,1",,"87,4",
RE07019itkfi,2838977,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,4",,"109,6",,"91,3",
Attlassitkt,2839036,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,86",,"108,2",,"124,8",
AO09002itkfi,2838995,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"10,61",,"94,1",,"78,4",
AO09002itkt,2838997,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27771,https://doi.org/10.15454/DLZRR4,AO09002,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,58",,"108,1",,"124,7",
Attlassitkfi,2839034,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,3",,"126,8",,"105,6",
RE07093itknt,2839002,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"109,1",,"102,4",
