observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2864787,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,85",,"106,82",,3,
2,2864786,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,48652,https://doi.org/10.15454/GG9CKW,DI11014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,87",,"94,1",,,
2,2864732,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,94",,"101,07",,1,
1,2864731,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"10,55",,"97,81",,1,
2,2864730,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,85",,"82,88",,,
1,2864729,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,12",,"85,45",,,
2,2864674,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,77",,"82,81",,,
1,2864673,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"9,07",,"77,64",,,
1,2864675,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,98",,"99,09",,1,
2,2864676,BTH_Clermont-Ferrand_2012_SetA2,BTH_Clermont-Ferrand_2012_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,76",,"101,02",,1,
