observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2765430,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49369,gnpis_pui:holding-921_taxon-4898_accession-49369,RE99111,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,99,
1,2765429,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49369,gnpis_pui:holding-921_taxon-4898_accession-49369,RE99111,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"113,8",
1,2765427,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49369,gnpis_pui:holding-921_taxon-4898_accession-49369,RE99111,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"71,5",
1,2765473,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48376,gnpis_pui:holding-921_taxon-4898_accession-48376,EM00013,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"112,4",
1,2765471,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48376,gnpis_pui:holding-921_taxon-4898_accession-48376,EM00013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"84,7",
2,2765474,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48376,gnpis_pui:holding-921_taxon-4898_accession-48376,EM00013,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"103,4",
2,2765518,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26859,https://doi.org/10.15454/KODDU6,DI00016,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"113,9",
2,2765516,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26859,https://doi.org/10.15454/KODDU6,DI00016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"100,7",
1,2765515,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26859,https://doi.org/10.15454/KODDU6,DI00016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"83,7",
1,2765513,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25897,https://doi.org/10.15454/J6YB10,CF99105,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"107,6",
1,2765511,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25897,https://doi.org/10.15454/J6YB10,CF99105,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"97,3",
2,2765512,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25897,https://doi.org/10.15454/J6YB10,CF99105,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"98,6",
2,2765514,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25897,https://doi.org/10.15454/J6YB10,CF99105,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"108,5",
1,2765533,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25999,https://doi.org/10.15454/VRBLKL,CF00191,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,115,
2,2765534,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25999,https://doi.org/10.15454/VRBLKL,CF00191,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"110,1",
1,2765531,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,25999,https://doi.org/10.15454/VRBLKL,CF00191,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"70,3",
