observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE11075itkt,2868602,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,98,,153,,"10,94",,"96,8",,,,"85,6",,1,,"1,5",,"3,5",
RE11087itkt,2868642,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,152,,"11,45",,"96,5",,,,"85,3",,"1,5",,"1,5",,"5,5",
RE11087itkfi,2868641,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,92,,151,,"10,95",,"112,7",,2,,76,,1,,2,,2,
AO12019itkfi,2868647,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,88,,153,,"11,15",,"106,3",,3,,"71,6",,1,,"2,5",,1,
AO12019itkt,2868648,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,90,,153,,"12,2",,"91,3",,,,"80,7",,"1,5",,2,,7,
AO12018itkt,2868650,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,153,,"11,57",,"94,2",,,,"83,3",,"1,5",,1,,7,
CF11140itkfi,2868633,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,85,,152,,"12,15",,"86,5",,4,,"58,3",,1,,"3,5",,1,
AO12020itkfi,2868603,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,95,,153,,"10,85",,"99,8",,5,,"67,3",,1,,3,,3,
AO12020itkt,2868604,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,100,,153,,"12,46",,"99,9",,,,"88,3",,1,,"1,5",,"7,5",
RE11060itkfi,2868637,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,95,,154,,"10,48",,"101,8",,3,,"68,6",,1,,3,,"1,5",
