observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13013itkt,2876503,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,156,,"11,7",,"74,6",,"109,6",,"112,9",,,
DI13001itkfi,2876512,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"10,7",,"73,9",,"109,6",,"87,5",,"4,8",
DI13001itkt,2876513,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,2",,"74,2",,103,,"106,2",,,
CF12053itkt,2876519,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,158,,12,,"75,6",,"105,6",,"108,8",,,
AO13015itkfi,2876524,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"10,7",,"69,1",,"109,6",,"87,5",,"5,2",
AO13015itkt,2876525,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,4",,"75,3",,"102,3",,"105,5",,,
Pakitoitkfi,2876488,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,154,,"10,9",,"72,2",,"102,3",,"81,7",,"8,5",
RE12018itkfi,2876498,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,154,,"12,6",,"73,7",,98,,"78,2",,"3,2",
AO13008itkt,2876517,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,treated,2013,76,,155,,"12,2",,"76,5",,"94,8",,"97,7",,,
Pakitoitkt,2876489,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,77,,154,,"11,2",,"75,7",,"97,4",,"100,3",,,
AO13005itkt,2876469,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,158,,"12,1",,"72,1",,"92,6",,"95,4",,,
RE12001itkt,2876473,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"11,3",,"74,9",,"102,9",,106,,,
AO13005itkfi,2876468,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,83,,157,,"11,5",,"67,5",,"103,2",,"82,4",,4,
