observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2819922,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,24",,"71,5",,"3,2",,"52,25",
2,2819925,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,5",,"75,8",,,,"81,62",
2,2819923,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,11",,"72,5",,4,,"50,23",
1,2819924,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,13",,"76,8",,,,"75,44",
1,2819890,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,77",,60,,"2,5",,"57,97",
2,2819893,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,28",,"77,5",,,,"79,52",
1,2819892,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,6",,"76,8",,,,"84,01",
2,2819891,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,49",,"73,1",,"3,5",,"60,93",
2,2820015,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,64",,58,,"4,5",,"45,01",
1,2820014,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,84",,"66,7",,2,,"51,04",
