observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI04008itkfi,2799175,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,68",,"101,9",,"86,6",
DI04008itkt,2799176,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,72",,"99,3",,"93,5",
EM03069itkt,2799110,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,8",,"93,3",,"87,9",
EM03069itkfi,2799109,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,88",,"111,5",,"94,8",
Oratorioitkfi,2799161,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,94",,"103,6",,"88,1",
Oratorioitkt,2799162,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,8",,"97,7",,92,
Farandoleitkt,2799146,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,12",,"101,8",,"95,9",
Farandoleitkfi,2799145,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,26",,"99,6",,"84,7",
RE03136itkt,2799174,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,88",,"97,1",,"91,5",
CF03252itkt,2799182,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,36",,"98,7",,93,
