observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE02099itkfi,2797775,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26395,https://doi.org/10.15454/3KYGFX,RE02099,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,51",,"110,3",,"94,4",,1,
EM01308itkt,2797744,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48674,gnpis_pui:holding-921_taxon-4898_accession-48674,EM01308,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,75",,"96,5",,106,,4,
RE03126itkt,2797742,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49627,gnpis_pui:holding-921_taxon-4898_accession-49627,RE03126,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,78",,"82,2",,"90,4",,1,
RE03126itkfi,2797741,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49627,gnpis_pui:holding-921_taxon-4898_accession-49627,RE03126,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,26",,"89,3",,"76,3",,1,
Oratorioitkfi,2797783,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,84",,"101,4",,"86,8",,1,
EM01058.3itkt,2797772,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49582,gnpis_pui:holding-921_taxon-4898_accession-49582,EM01058.3,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,3",,"93,8",,"103,1",,1,
CF03120itkfi,2797723,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49695,gnpis_pui:holding-921_taxon-4898_accession-49695,CF03120,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,69",,"99,5",,"85,1",,1,
RE02099itkt,2797776,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,26395,https://doi.org/10.15454/3KYGFX,RE02099,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,3",,107,,"117,6",,"1,5",
Apacheitkt,2797770,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,6",,"102,1",,"112,3",,1,
CF03120itkt,2797724,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49695,gnpis_pui:holding-921_taxon-4898_accession-49695,CF03120,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,25",,"102,4",,"112,5",,1,
