observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF07267itkt,2846166,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,94,,"55,8",,142,,"10,25",,"78,6",,"86,2",,"68,7",
RE07095itkt,2846140,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,94,,53,,143,,"9,48",,"78,8",,"101,7",,81,
RE07093itkt,2846136,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,"53,8",,142,,"10,51",,"78,4",,"87,7",,"69,8",
Caphornitkfi,2846145,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,2",,88,,"47,2",,143,,"9,92",,77,,"101,1",,"64,4",
Hendrixitkt,2846102,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,93,,48,,144,,"11,82",,"81,7",,95,,"75,7",
Hendrixitkfi,2846101,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,86,,"47,8",,144,,"9,77",,"81,2",,"100,4",,64,
RE07095itkfi,2846139,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,91,,"51,8",,143,,"8,64",,"78,2",,"97,4",,"62,1",
Lyrikitkt,2846174,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,"49,4",,144,,"9,25",,"79,8",,"112,5",,"89,6",
EM06017itkt,2846108,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"50,2",,143,,"10,9",,"81,2",,"89,5",,"71,3",
Lyrikitkfi,2846173,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,84,,48,,144,,"8,83",,"78,9",,"112,7",,"71,8",
Folkloritkt,2846106,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,98,,"52,7",,145,,"9,06",,"78,1",,"110,1",,"87,7",
