"Lot Number";"Accession Number";"Accession Name";"itk";"Trial Name";"Trial Site";"X(m)";"Y(m)";"Campaign";"GDD";"rdt: Grain yield at 0% humidity ";"Date [rdt]";"r: Yield";"Date [r]";"prec: Earliness at earing";"Date [prec]";"ps: Test weight";"Date [ps]";"ht: Height";"Date [ht]";"prot: Grain protein concentration";"Date [prot]";"rb: Susceptibility to leaf rust";"Date [rb]";"sept: Septoria score";"Date [sept]";"vr: Lodging score";"Date [vr]";"rj: Yellow rust score";"Date [rj]";"oid: Powdey mildew score";"Date [oid]";"pmg: Thousand grain weight at 0% humidity";"Date [pmg]"
"AO15023";"AO15023";"AO15023";"traite";"BTH_Dijon_2015_SetB3";"Dijon";"";"";"2015";"";"107";"";"100.9";"";"136";"";"77.9";"";"103";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";""
"AO15025";"AO15025";"AO15025";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"79.2";"";"77.3";"";"140";"";"78.2";"";"";"";"11.5";"";"NA";"";"NA";"";"4";"";"9";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"92.7";"";"96.6";"";"135";"";"";"";"85";"";"10.2";"";"4.2";"";"3.2";"";"";"";"1";"";"";"";"";""
"AO15022";"AO15022";"AO15022";"non traite fongicides";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"69";"";"92.2";"";"";"";"";"";"";"";"";"";"1.5";"";"2.5";"";"";"";"1";"";"";"";"";""
"RE11058";"37839";"RE11058";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"80.3";"";"";"";"132";"";"80";"";"";"";"9.4";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"CF09117";"37261";"CF09117";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"72.5";"";"";"";"132";"";"78.5";"";"";"";"10.1";"";"3";"";"";"";"";"";"1";"";"";"";"";""
"EM11537";"37829";"EM11537";"traite";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"87.3";"";"92";"";"136";"";"77.3";"";"84";"";"10.6";"";"";"";"";"";"1";"";"";"";"";"";"";""
"APACHE";"13481";"APACHE";"traite";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"82.7";"";"87.1";"";"132";"";"83";"";"92";"";"11";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE12080";"RE12080";"RE12080";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"120.2";"";"111.9";"";"142";"";"";"";"";"";"";"";"4";"";"4.5";"";"7.5";"";"1.5";"";"";"";"";""
"EM11537";"37829";"EM11537";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"65.3";"";"97";"";"135";"";"78";"";"92";"";"9.8";"";"1";"";"1";"";"2.5";"";"1";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"63.2";"";"93.8";"";"134";"";"79";"";"100";"";"9.8";"";"1";"";"3.5";"";"1";"";"1";"";"";"";"";""
"DI13005";"39310";"DI13005";"";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"DI14001";"DI14001";"DI14001";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"129";"";"108.2";"";"134";"";"81.7";"";"108";"";"11.1";"";"";"";"";"";"1";"";"";"";"";"";"60.7";""
"RE13116";"RE13116";"RE13116";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"101.7";"";"114.5";"";"130";"";"79.5";"";"";"";"9.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"82.2";"";"90.1";"";"136";"";"79.2";"";"95";"";"";"";"2";"";"7.5";"";"1";"";"1";"";"1";"";"";""
"AO14014";"AO14014";"AO14014";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"95.6";"";"104.8";"";"138";"";"79.8";"";"90";"";"";"";"2.5";"";"4";"";"1";"";"1";"";"1";"";"";""
"EM13073";"EM13073";"EM13073";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"RE13003";"RE13003";"RE13003";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"107.8";"";"118.3";"";"136";"";"82.3";"";"126";"";"";"";"1.5";"";"3";"";"1";"";"3.5";"";"1";"";"";""
"CF14072";"CF14072";"CF14072";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"CF14031";"CF14031";"CF14031";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"132.8";"";"114.7";"";"142";"";"84";"";"";"";"11";"";"";"";"";"";"5.5";"";"";"";"";"";"";""
"RE14114";"RE14114";"RE14114";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"97.1";"";"100.2";"";"145";"";"80.6";"";"";"";"11.8";"";"5";"";"3";"";"6";"";"1.5";"";"";"";"";""
"AO15013";"AO15013";"AO15013";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"108.2";"";"105.6";"";"142";"";"81.9";"";"";"";"9.7";"";"2";"";"6.5";"";"3.5";"";"4";"";"";"";"";""
"AO15024";"AO15024";"AO15024";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"86.2";"";"84.1";"";"138";"";"78.3";"";"";"";"11.3";"";"1";"";"6";"";"6.5";"";"5.5";"";"";"";"";""
"AO15023";"AO15023";"AO15023";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"78.4";"";"103.5";"";"134";"";"78.3";"";"105";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15001";"AO15001";"AO15001";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"71.6";"";"90.5";"";"142";"";"76";"";"78";"";"10.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15012";"AO15012";"AO15012";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"92.2";"";"108.2";"";"128";"";"79.8";"";"87";"";"";"";"3";"";"4.5";"";"1";"";"1";"";"";"";"";""
"AO13029";"AO13029";"AO13029";"traite";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"92.9";"";"97.8";"";"133";"";"81.9";"";"85";"";"10.8";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO11011";"37247";"AO11011";"traite";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"122.7";"";"99.6";"";"144";"";"78.9";"";"";"";"12.6";"";"";"";"";"";"2";"";"";"";"";"";"";""
"AO13026";"AO13026";"AO13026";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"79.7";"";"81.6";"";"138";"";"";"";"92";"";"10.5";"";"2";"";"6";"";"";"";"1";"";"";"";"";""
"AO13022";"AO13022";"AO13022";"non traite fongicides";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"68.4";"";"91.8";"";"144";"";"69.8";"";"90";"";"";"";"3";"";"3.5";"";"";"";"3";"";"";"";"";""
"RE13094";"RE13094";"RE13094";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"81.3";"";"96";"";"130";"";"82.6";"";"98";"";"";"";"5";"";"2";"";"";"";"4";"";"";"";"";""
"RE13106";"39438";"RE13106";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"97.3";"";"114.8";"";"132";"";"80.4";"";"90";"";"";"";"2";"";"2";"";"";"";"1";"";"";"";"";""
"AO14013";"AO14013";"AO14013";"faible intrant";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"83.9";"";"87.2";"";"141";"";"";"";"96";"";"10.4";"";"1";"";"4.5";"";"";"";"2.8";"";"";"";"";""
"RE13014";"39435";"RE13014";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"124";"";"100.9";"";"138";"";"";"";"111";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF13158";"CF13158";"CF13158";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"80.9";"";"96";"";"146";"";"74.2";"";"88";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM13073";"EM13073";"EM13073";"faible intrant";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"84.6";"";"100.5";"";"136";"";"78.2";"";"95";"";"11.2";"";"4.5";"";"3";"";"1";"";"1";"";"1";"";"";""
"EM14050";"EM14050";"EM14050";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"62.17";"";"88.2";"";"131";"";"";"";"88";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"AO15029";"AO15029";"AO15029";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"83.3";"";"101.4";"";"144";"";"70.8";"";"90";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14009";"CF14009";"CF14009";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"76.6";"";"93.3";"";"150";"";"67.1";"";"92";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14039";"RE14039";"RE14039";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";""
"Barok";"32101";"BAROK";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"89.9";"";"101.1";"";"135";"";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14089";"RE14089";"RE14089";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"81.7";"";"97.8";"";"138";"";"72.9";"";"90";"";"10.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI14014";"DI14014";"DI14014";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"75.2";"";"99.3";"";"130";"";"79.7";"";"102";"";"";"";"1";"";"2";"";"";"";"";"";"";"";"";""
"AO15022";"AO15022";"AO15022";"";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"AO15016";"AO15016";"AO15016";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"82.6";"";"96.9";"";"140";"";"78.2";"";"99";"";"";"";"1.5";"";"3.5";"";"1";"";"1.5";"";"";"";"";""
"CF12202";"39303";"CF12202";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"107.7";"";"108";"";"138";"";"81.3";"";"";"";"11.5";"";"4";"";"4";"";"3";"";"1.5";"";"";"";"";""
"EM11537";"37829";"EM11537";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"125.9";"";"99.2";"";"147";"";"";"";"92";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13045";"AO13045";"AO13045";"traite";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"91.6";"";"97.6";"";"134";"";"80";"";"89";"";"11";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO13030";"39286";"AO13030";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"94.2";"";"100.5";"";"131";"";"77.9";"";"85";"";"11.3";"";"2.5";"";"6.5";"";"1";"";"2";"";"1";"";"39.9";""
"EM13249";"EM13249";"EM13249";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"84.2";"";"100";"";"146";"";"72.9";"";"82";"";"10.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13106";"39438";"RE13106";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";""
"EM13013";"EM13013";"EM13013";"traite";"BTH_Clermont-Ferrand_2015_SetB1";"Clermont-Ferrand";"";"";"2015";"";"91.1";"";"105.4";"";"136";"";"83.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"104.9";"";"99.9";"";"134";"";"80.6";"";"89";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"93";"";"105";"";"134";"";"81.3";"";"85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15028";"AO15028";"AO15028";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"119.5";"";"96.7";"";"138";"";"";"";"93";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"ATTLASS";"28926";"ATTLASS";"faible intrant";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"106.4";"";"109";"";"141";"";"";"";"94";"";"10.2";"";"1.8";"";"2.8";"";"";"";"1.5";"";"";"";"";""
"RE14007";"RE14007";"RE14007";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"71.6";"";"101.6";"";"134";"";"";"";"92";"";"";"";"";"";"1";"";"3";"";"";"";"";"";"";""
"CF14054";"CF14054";"CF14054";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"81.31";"";"115.4";"";"132";"";"";"";"92";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"RE14004";"RE14004";"RE14004";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"82.5";"";"100.5";"";"148";"";"68.2";"";"90";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14126";"RE14126";"RE14126";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"80.7";"";"90.8";"";"137";"";"82.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14324";"CF14324";"CF14324";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"106.1";"";"101";"";"130";"";"82.1";"";"90";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"114.9";"";"109.4";"";"134";"";"79.8";"";"91";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"CF14188";"CF14188";"CF14188";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"102.9";"";"106.1";"";"145";"";"75.7";"";"";"";"11.1";"";"1";"";"4";"";"2";"";"1.5";"";"";"";"";""
"CF14300";"CF14300";"CF14300";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"55.8";"";"74.9";"";"134";"";"77.7";"";"112";"";"";"";"1";"";"1";"";"8.5";"";"";"";"";"";"";""
"CF14324";"CF14324";"CF14324";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"82.9";"";"99.3";"";"141";"";"73.4";"";"85";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14072";"EM14072";"EM14072";"";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";""
"EM14248";"EM14248";"EM14248";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"108.4";"";"105.8";"";"143";"";"81";"";"";"";"10.5";"";"4";"";"5";"";"4.5";"";"1";"";"";"";"";""
"Grapeli";"36801";"GRAPELI";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"82.1";"";"103.8";"";"146";"";"78.1";"";"95";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15015";"AO15015";"AO15015";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"70.6";"";"89.2";"";"141";"";"77.2";"";"80";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO14039";"AO14039";"AO14039";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"81.6";"";"";"";"132";"";"76";"";"";"";"8.9";"";"4";"";"";"";"";"";"1";"";"";"";"";""
"DI14001";"DI14001";"DI14001";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"106.5";"";"102.8";"";"131";"";"78.3";"";"101";"";"12.4";"";"";"";"";"";"";"";"";"";"";"";"51.9";""
"EM12234";"39324";"EM12234";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"109.7";"";"110.1";"";"142";"";"79.2";"";"";"";"12.6";"";"5";"";"4";"";"3";"";"1";"";"";"";"";""
"AO13031";"AO13031";"AO13031";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"99.8";"";"102.2";"";"136";"";"";"";"88";"";"10.5";"";"4.5";"";"3";"";"";"";"2";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"65.5";"";"97.3";"";"131";"";"83.3";"";"90";"";"10.1";"";"1";"";"2";"";"1";"";"1";"";"";"";"";""
"DI14001";"DI14001";"DI14001";"traite";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"79.2";"";"96.9";"";"145";"";"74.8";"";"90";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE12020";"39333";"RE12020";"";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"RE12020";"39333";"RE12020";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"107.3";"";"89.9";"";"134";"";"82.2";"";"105";"";"14";"";"";"";"";"";"1";"";"";"";"";"";"51.7";""
"AO13031";"AO13031";"AO13031";"faible intrant";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"96.3";"";"103.1";"";"131";"";"81.1";"";"90";"";"11.2";"";"2.5";"";"5";"";"1";"";"2.5";"";"1";"";"40.9";""
"AO14005";"AO14005";"AO14005";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"127.1";"";"106.5";"";"135";"";"81.7";"";"85";"";"11.8";"";"";"";"";"";"1";"";"";"";"";"";"50.4";""
"EM13243";"EM13243";"EM13243";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"93.1";"";"104.8";"";"135";"";"81.5";"";"";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF13057";"CF13057";"CF13057";"traite";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"110.1";"";"106.5";"";"132";"";"79.8";"";"94";"";"10.6";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO14008";"AO14008";"AO14008";"traite";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"104";"";"100.5";"";"134";"";"83.5";"";"98";"";"10.7";"";"";"";"";"";"3";"";"";"";"";"";"";""
"RE13086";"39437";"RE13086";"traite";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"97.2";"";"94";"";"132";"";"81.3";"";"97";"";"11.4";"";"";"";"";"";"1";"";"";"";"";"";"";""
"ATTLASS";"28926";"ATTLASS";"traite";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"111.8";"";"108.1";"";"134";"";"80.8";"";"94";"";"11.5";"";"";"";"";"";"1";"";"";"";"";"";"";""
"EM13147";"EM13147";"EM13147";"traite";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"126.3";"";"103.4";"";"141";"";"80";"";"";"";"10.7";"";"";"";"";"";"2";"";"";"";"";"";"";""
"RE13116";"RE13116";"RE13116";"faible intrant";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"79.5";"";"109.3";"";"130";"";"80.8";"";"102";"";"10.2";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"AO15027";"AO15027";"AO15027";"traite";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"119.9";"";"97.2";"";"138";"";"77";"";"";"";"11.4";"";"";"";"";"";"4";"";"";"";"";"";"";""
"EM14050";"EM14050";"EM14050";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"116.6";"";"94.3";"";"134";"";"";"";"90";"";"11.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"124.3";"";"100.6";"";"139";"";"";"";"92";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14026";"RE14026";"RE14026";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"123.9";"";"100.2";"";"132";"";"";"";"100";"";"11.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14047";"RE14047";"RE14047";"faible intrant";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"102.3";"";"104.8";"";"138";"";"";"";"88";"";"10.2";"";"1";"";"2.8";"";"";"";"2";"";"";"";"";""
"CF14128";"CF14128";"CF14128";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"121.9";"";"98.7";"";"138";"";"";"";"112";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14171";"CF14171";"CF14171";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"80.4";"";"97.9";"";"150";"";"65.8";"";"90";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14097";"EM14097";"EM14097";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"97";"";"101.3";"";"147";"";"";"";"88";"";"10.3";"";"1.5";"";"2.5";"";"";"";"2";"";"";"";"";""
"AO15017";"AO15017";"AO15017";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"82";"";"85.5";"";"147";"";"";"";"88";"";"9.8";"";"1";"";"3";"";"";"";"1.8";"";"";"";"";""
"EM14205";"EM14205";"EM14205";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"116.8";"";"97.5";"";"144";"";"";"";"92";"";"11.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15007";"AO15007";"AO15007";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"78.1";"";"98.8";"";"143";"";"76.7";"";"82";"";"9.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15025";"AO15025";"AO15025";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"73.1";"";"92.4";"";"144";"";"75.3";"";"88";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15018";"AO15018";"AO15018";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"77.1";"";"97.4";"";"146";"";"74.4";"";"95";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE12002";"39331";"RE12002";"traite";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"87.1";"";"";"";"135";"";"78.5";"";"";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF12202";"39303";"CF12202";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"76.7";"";"102.3";"";"134";"";"79.4";"";"76";"";"";"";"3";"";"2";"";"";"";"1.5";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"79.2";"";"105.5";"";"133";"";"79.4";"";"79";"";"";"";"1.5";"";"3";"";"";"";"1";"";"";"";"";""
"Galibier";"3250";"GALIBIER";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"67.7";"";"67.9";"";"132";"";"78.8";"";"";"";"13.9";"";"NA";"";"NA";"";"6.5";"";"9";"";"";"";"";""
"CF12202";"39303";"CF12202";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"98";"";"91.2";"";"140";"";"";"";"";"";"";"";"6";"";"6";"";"7";"";"3.5";"";"";"";"";""
"DI13005";"39310";"DI13005";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"130";"";"102.4";"";"142";"";"";"";"104";"";"9.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF12202";"39303";"CF12202";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"113.1";"";"108.2";"";"138";"";"";"";"90";"";"";"";"3.5";"";"2.5";"";"1";"";"1";"";"";"";"";""
"AO14001";"AO14001";"AO14001";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"100.4";"";"79.1";"";"142";"";"";"";"98";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13093";"RE13093";"RE13093";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"82.4";"";"106.2";"";"135";"";"78.5";"";"";"";"9.4";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"Granamax";"37231";"GRANAMAX";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"83.9";"";"108.1";"";"134";"";"77.5";"";"";"";"9.8";"";"2";"";"";"";"";"";"1";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"90.1";"";"101.4";"";"131";"";"80.5";"";"";"";"9.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"ATTLASS";"28926";"ATTLASS";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"81.4";"";"105";"";"135";"";"80";"";"";"";"9.5";"";"1";"";"";"";"";"";"1";"";"";"";"";""
